,NAME,Population,stateNo,countyNo,County,Year
151,"San Bernardino County, California",2023452.0,06,071,San Bernardino,2011
152,"San Diego County, California",3060849.0,06,073,San Diego,2011
153,"San Francisco County, California",797983.0,06,075,San Francisco,2011
154,"San Joaquin County, California",680277.0,06,077,San Joaquin,2011
155,"San Luis Obispo County, California",267871.0,06,079,San Luis Obispo,2011
156,"San Mateo County, California",711622.0,06,081,San Mateo,2011
157,"Santa Barbara County, California",419793.0,06,083,Santa Barbara,2011
158,"Santa Clara County, California",1762754.0,06,085,Santa Clara,2011
159,"Santa Cruz County, California",259402.0,06,087,Santa Cruz,2011
160,"Shasta County, California",177231.0,06,089,Shasta,2011
161,"Sierra County, California",3277.0,06,091,Sierra,2011
162,"Siskiyou County, California",44687.0,06,093,Siskiyou,2011
163,"Solano County, California",411620.0,06,095,Solano,2011
164,"Sonoma County, California",478551.0,06,097,Sonoma,2011
165,"Stanislaus County, California",512469.0,06,099,Stanislaus,2011
166,"Sutter County, California",94192.0,06,101,Sutter,2011
167,"Tehama County, California",62985.0,06,103,Tehama,2011
168,"Trinity County, California",13711.0,06,105,Trinity,2011
169,"Tulare County, California",436234.0,06,107,Tulare,2011
170,"Tuolumne County, California",55736.0,06,109,Tuolumne,2011
171,"Ventura County, California",815745.0,06,111,Ventura,2011
172,"Yolo County, California",198889.0,06,113,Yolo,2011
173,"Yuba County, California",71817.0,06,115,Yuba,2011
174,"Alameda County, California",1515136.0,06,001,Alameda,2012
175,"Alpine County, California",1197.0,06,003,Alpine,2012
176,"Amador County, California",37764.0,06,005,Amador,2012
177,"Butte County, California",220101.0,06,007,Butte,2012
178,"Calaveras County, California",45507.0,06,009,Calaveras,2012
179,"Colusa County, California",21329.0,06,011,Colusa,2012
180,"Contra Costa County, California",1052047.0,06,013,Contra Costa,2012
181,"Del Norte County, California",28496.0,06,015,Del Norte,2012
182,"El Dorado County, California",180441.0,06,017,El Dorado,2012
183,"Fresno County, California",930517.0,06,019,Fresno,2012
184,"Glenn County, California",28078.0,06,021,Glenn,2012
185,"Humboldt County, California",134317.0,06,023,Humboldt,2012
186,"Imperial County, California",173487.0,06,025,Imperial,2012
187,"Inyo County, California",18474.0,06,027,Inyo,2012
188,"Kern County, California",839153.0,06,029,Kern,2012
189,"Kings County, California",151982.0,06,031,Kings,2012
190,"Lake County, California",64360.0,06,033,Lake,2012
191,"Lassen County, California",34628.0,06,035,Lassen,2012
192,"Los Angeles County, California",9840024.0,06,037,Los Angeles,2012
193,"Madera County, California",150615.0,06,039,Madera,2012
194,"Marin County, California",252759.0,06,041,Marin,2012
195,"Mariposa County, California",18193.0,06,043,Mariposa,2012
196,"Mendocino County, California",87577.0,06,045,Mendocino,2012
197,"Merced County, California",256398.0,06,047,Merced,2012
198,"Modoc County, California",9545.0,06,049,Modoc,2012
199,"Mono County, California",14181.0,06,051,Mono,2012
200,"Monterey County, California",416199.0,06,053,Monterey,2012
201,"Napa County, California",136644.0,06,055,Napa,2012
202,"Nevada County, California",98521.0,06,057,Nevada,2012
203,"Orange County, California",3021840.0,06,059,Orange,2012
204,"Placer County, California",350074.0,06,061,Placer,2012
205,"Plumas County, California",19926.0,06,063,Plumas,2012
206,"Riverside County, California",2192982.0,06,065,Riverside,2012
207,"Sacramento County, California",1422348.0,06,067,Sacramento,2012
208,"San Benito County, California",55467.0,06,069,San Benito,2012
209,"San Bernardino County, California",2041029.0,06,071,San Bernardino,2012
210,"San Diego County, California",3100500.0,06,073,San Diego,2012
211,"San Francisco County, California",807755.0,06,075,San Francisco,2012
212,"San Joaquin County, California",687036.0,06,077,San Joaquin,2012
213,"San Luis Obispo County, California",270121.0,06,079,San Luis Obispo,2012
214,"San Mateo County, California",721183.0,06,081,San Mateo,2012
215,"Santa Barbara County, California",423594.0,06,083,Santa Barbara,2012
216,"Santa Clara County, California",1788393.0,06,085,Santa Clara,2012
217,"Santa Cruz County, California",262340.0,06,087,Santa Cruz,2012
218,"Shasta County, California",177693.0,06,089,Shasta,2012
219,"Sierra County, California",3163.0,06,091,Sierra,2012
220,"Siskiyou County, California",44673.0,06,093,Siskiyou,2012
221,"Solano County, California",414209.0,06,095,Solano,2012
222,"Sonoma County, California",483456.0,06,097,Sonoma,2012
223,"Stanislaus County, California",515115.0,06,099,Stanislaus,2012
224,"Sutter County, California",94615.0,06,101,Sutter,2012
225,"Tehama County, California",63200.0,06,103,Tehama,2012
226,"Trinity County, California",13693.0,06,105,Trinity,2012
227,"Tulare County, California",441877.0,06,107,Tulare,2012
228,"Tuolumne County, California",55205.0,06,109,Tuolumne,2012
229,"Ventura County, California",822794.0,06,111,Ventura,2012
230,"Yolo County, California",200873.0,06,113,Yolo,2012
231,"Yuba County, California",72244.0,06,115,Yuba,2012
232,"Alameda County, California",1535248.0,06,001,Alameda,2013
233,"Alpine County, California",1165.0,06,003,Alpine,2013
234,"Amador County, California",37422.0,06,005,Amador,2013
235,"Butte County, California",220542.0,06,007,Butte,2013
236,"Calaveras County, California",45147.0,06,009,Calaveras,2013
237,"Colusa County, California",21366.0,06,011,Colusa,2013
238,"Contra Costa County, California",1065794.0,06,013,Contra Costa,2013
239,"Del Norte County, California",28357.0,06,015,Del Norte,2013
240,"El Dorado County, California",180982.0,06,017,El Dorado,2013
241,"Fresno County, California",939605.0,06,019,Fresno,2013
242,"Glenn County, California",28054.0,06,021,Glenn,2013
243,"Humboldt County, California",134613.0,06,023,Humboldt,2013
244,"Imperial County, California",175201.0,06,025,Imperial,2013
